country,provider,name,gb,days,usd,perGb,source
"canada","Airalo","canada-mobile-3days-1gb","1","3","7","7","https://www.airalo.com/canada-esim"
"canada","eSIM.dog","BLUE_CA_343ECEFEE1","1","365","8.49","8.49","https://esim.dog/ca"
"canada","Airalo","canada-mobile-plus-3days-1gb","1","3","8.5","8.5","https://www.airalo.com/canada-esim"
"canada","eSIM.dog","YELLOW_CA_3E643A5C4A","0.29","3","2.99","10.31","https://esim.dog/ca"
"canada","eSIM.dog","PT73ZDYVK","0.1","7","1.49","14.9","https://esim.dog/ca"
"canada","eSIM.dog","YELLOW_CA_0B27F53F09","0.2","30","2.99","14.95","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_D0B53D7F10","0.1","30","1.71","17.1","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_1A5310C3E9","0.1","1","1.99","19.9","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_102MB_2D_9B62FE13AF","0.1","2","1.99","19.9","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_031D801E8A","0.1","6","1.99","19.9","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_21BC08F023","0.1","90","1.99","19.9","https://esim.dog/ca"
"china","Stellar","China 3GB 30Days + Free Stellar VPN","3","30","0.49","0.163","stellar feed"
"china","Stellar","China 50GB 30Days + Free Stellar VPN","50","30","11.39","0.228","stellar feed"
"china","Stellar","China 20GB 30Days + Free Stellar VPN","20","30","5.68","0.284","stellar feed"
"china","Stellar","China 10GB 30Days + Free Stellar VPN","10","30","2.98","0.298","stellar feed"
"china","eSIM.dog","PINK_1766557878647773_3","50","3","14.99","0.3","https://esim.dog/cn"
"china","eSIM.dog","PINK_1766557878647773_5","50","5","15.63","0.313","https://esim.dog/cn"
"china","Stellar","China 5GB 30Days + Free Stellar VPN","5","30","1.61","0.322","stellar feed"
"china","eSIM.dog","PINK_1766557879037793_3","20","3","6.66","0.333","https://esim.dog/cn"
"china","eSIM.dog","PINK_1766557879037793_5","20","5","6.66","0.333","https://esim.dog/cn"
"china","eSIM.dog","AMBER_CN_15GB_1D_B46817313E","15","1","4.99","0.333","https://esim.dog/cn"
"china","eSIM.dog","AMBER_CN_30GB_1D_8211BC2D26","30","1","9.99","0.333","https://esim.dog/cn"
"china","eSIM.dog","PINK_1766557878647773_7","50","7","17.34","0.347","https://esim.dog/cn"
"china","eSIM.dog","PINK_1766557878647773_10","50","10","17.34","0.347","https://esim.dog/cn"
"china","eSIM.dog","PINK_1766557832231507_1","50","1","17.49","0.35","https://esim.dog/cn"
